ZIP,LAT,LNG,zip_prefix,state_abb,city,state_full
01037,42.372728,-72.195412,010,MA,SPRINGFIELD,massachusetts
01038,42.385496,-72.606929,010,MA,SPRINGFIELD,massachusetts
01039,42.404278,-72.688922,010,MA,SPRINGFIELD,massachusetts
01040,42.211656,-72.642448,010,MA,SPRINGFIELD,massachusetts
01050,42.286762,-72.869695,010,MA,SPRINGFIELD,massachusetts
01053,42.356301,-72.713584,010,MA,SPRINGFIELD,massachusetts
01054,42.468898,-72.484579,010,MA,SPRINGFIELD,massachusetts
01056,42.183577,-72.457812,010,MA,SPRINGFIELD,massachusetts
01057,42.093596,-72.321494,010,MA,SPRINGFIELD,massachusetts
01060,42.321488,-72.630588,010,MA,SPRINGFIELD,massachusetts
01062,42.328308,-72.703924,010,MA,SPRINGFIELD,massachusetts
01063,42.318882,-72.63853,010,MA,SPRINGFIELD,massachusetts
01066,42.406903,-72.655018,010,MA,SPRINGFIELD,massachusetts
01068,42.350862,-72.044248,010,MA,SPRINGFIELD,massachusetts
01069,42.187794,-72.308469,010,MA,SPRINGFIELD,massachusetts
01070,42.518446,-72.919017,010,MA,SPRINGFIELD,massachusetts
01071,42.16006,-72.873853,010,MA,SPRINGFIELD,massachusetts
01072,42.456968,-72.417244,010,MA,SPRINGFIELD,massachusetts
01073,42.226949,-72.741588,010,MA,SPRINGFIELD,massachusetts
01074,42.387603,-72.09323,010,MA,SPRINGFIELD,massachusetts
01075,42.256208,-72.58103,010,MA,SPRINGFIELD,massachusetts
01077,42.05257,-72.777353,010,MA,SPRINGFIELD,massachusetts
01079,42.197913,-72.329709,010,MA,SPRINGFIELD,massachusetts
01080,42.185727,-72.361558,010,MA,SPRINGFIELD,massachusetts
01081,42.061313,-72.234411,010,MA,SPRINGFIELD,massachusetts
01082,42.293533,-72.278599,010,MA,SPRINGFIELD,massachusetts
01083,42.203642,-72.194599,010,MA,SPRINGFIELD,massachusetts
01084,42.39237,-72.882235,010,MA,SPRINGFIELD,massachusetts
01085,42.153503,-72.771602,010,MA,SPRINGFIELD,massachusetts
01086,42.130446,-72.793967,010,MA,SPRINGFIELD,massachusetts
01088,42.391709,-72.646494,010,MA,SPRINGFIELD,massachusetts
